P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1.01,Kepler-1 b,1.01,Hot,Jovian,,,non-habitable,,,,12.85,,,,        774.1489,        774.1489,        774.1490,1343.9,1343.9,1343.9,,,,,-30.00,24.61,2.47,0.0350,0.00,0.04,84.2,0.0,KOI-1,,,Dra,G,0.94,0.95,5850.0,0.948332,0.000,0.000,11.3,188.58,19.1206,49.3164,-34.0,14.5036,1,0,0.728,1.711,-2.41,,,,0.00,0.00,0.00,0.07,0,0,0,1,transit,2015
KOI-2.01,Kepler-2 b,2.01,Hot,Jovian,,,non-habitable,,,,16.39,,,,        3983.613,        3983.614,        3983.615,2024.0,2024.0,2024.0,,,,,-32.32,31.54,2.20,0.0381,0.00,0.04,90.0,0.0,KOI-2,,,Cyg,F,1.52,1.99,6350.0,5.782654,0.000,0.000,10.5,311.82,19.4832,47.9695,-35.8,28.1304,1,0,1.743,4.056,-2.47,,,,0.00,0.00,0.00,0.06,0,0,0,1,transit,2015
KOI-3.01,Kepler-3 b,3.01,Hot,Neptunian,gas,metals-rich,non-habitable,,22.53,,4.84,0.20,0.96,2.16,        97.33788,        97.33788,        97.33791,800.2,800.2,800.2,,,,4.5,-25.61,9.21,4.89,0.0530,0.00,0.05,90.0,0.0,KOI-3,,,Cyg,K,0.83,0.77,4777.0,0.273422,0.000,0.000,9.2,37.56,19.8473,48.0809,-31.7,7.6979,1,0,0.414,1.010,-2.21,3.34,-0.25,0.20,,0.00,0.00,0.17,0,0,0,1,transit,2015
KOI-4.01,,4.01,Hot,Jovian,,,non-habitable,,,,13.10,,,,        4065.401,        4065.401,        4065.401,2034.3,2034.3,2034.3,,,,,-31.85,25.09,3.85,0.0548,0.00,0.05,80.2,0.0,KOI-4,,,Cyg,F,1.48,2.99,6244.0,12.208562,0.000,0.000,11.4,706.40,19.6238,38.9474,-35.8,29.4185,1,0,2.549,5.942,-2.47,,,,0.00,0.00,0.00,0.07,0,0,0,0,transit,2015
KOI-5.01,,5.01,Hot,Jovian,gas,metals-rich,non-habitable,,72.12,,7.07,0.20,1.44,3.19,        900.9516,        900.9517,        900.9518,1395.8,1395.8,1395.8,,,,14.7,-28.86,13.47,4.78,0.0577,0.00,0.06,82.5,0.0,KOI-5,,,Cyg,G,1.13,1.75,5753.0,2.999530,0.000,0.000,11.7,389.60,19.3160,44.6474,-34.2,16.1891,1,0,1.302,3.069,-2.41,4.51,-0.08,0.16,,0.00,0.00,0.12,0,0,0,0,transit,2015
KOI-7.01,Kepler-4 b,7.01,Hot,Neptunian,gas,metals-rich,non-habitable,,14.12,,4.14,0.20,0.82,1.85,        1221.960,        1221.960,        1221.960,1506.3,1506.3,1506.3,,,,2.8,-28.03,7.87,3.21,0.0439,0.00,0.04,90.0,0.0,KOI-7,,,Dra,G,1.09,1.53,5781.0,2.354973,0.000,0.000,12.2,443.37,19.0410,50.1358,-34.5,18.6924,1,0,1.151,2.713,-2.42,3.01,-0.81,0.20,,0.00,0.00,0.17,0,0,0,1,transit,2015
KOI-10.01,Kepler-8 b,10.01,Hot,Jovian,,,non-habitable,,,,14.83,,,,        1267.826,        1267.827,        1267.827,1520.2,1520.2,1520.2,,,,,-30.85,28.47,3.52,0.0473,0.00,0.05,85.4,0.0,KOI-10,,,Lyr,F,1.13,1.45,6225.0,2.836496,0.000,0.000,13.6,904.22,18.7525,42.4511,-34.5,16.4040,1,0,1.230,2.869,-2.44,,,,0.00,0.00,0.00,0.06,0,0,0,1,transit,2015
KOI-12.01,Kepler-448 b,12.01,Hot,Jovian,,,non-habitable,,,,14.63,,,,        186.7082,        186.7082,        186.7082,941.8,941.8,941.8,,,,,-28.73,28.08,17.86,0.1463,0.00,0.15,90.0,0.0,KOI-12,,,Cyg,F,1.31,1.52,6635.0,3.996244,0.000,0.000,11.4,389.78,19.8302,41.0110,-32.4,5.5244,1,0,1.425,3.302,-2.36,,,,0.00,0.00,0.00,0.07,0,0,0,1,transit,2015
KOI-13.01,Kepler-13 b,13.01,Hot,Jovian,,,non-habitable,,,,25.80,,,,        38052.96,        38052.96,        38052.96,3558.3,3558.3,3558.3,,,,,-35.77,50.66,1.76,0.0386,0.00,0.04,84.8,0.0,KOI-13,,,Lyr,A,2.47,3.03,9107.0,56.697389,0.000,0.000,10.0,774.65,19.1314,46.8684,-38.2,42.8371,1,0,5.221,12.033,-2.52,,,,0.00,0.00,0.00,0.04,0,0,0,1,transit,2015
KOI-17.01,Kepler-6 b,17.01,Hot,Jovian,,,non-habitable,,,,13.41,,,,        799.6136,        799.6137,        799.6138,1354.8,1354.8,1354.8,,,,,-30.13,25.70,3.23,0.0435,0.00,0.04,90.0,0.0,KOI-17,,,Cyg,G,1.05,1.29,5640.0,1.513069,0.000,0.000,13.3,586.22,19.7891,48.2399,-34.0,15.8666,1,0,0.931,2.201,-2.40,,,,0.00,0.00,0.00,0.07,0,0,0,1,transit,2015
KOI-18.01,Kepler-5 b,18.01,Hot,Jovian,,,non-habitable,,,,15.28,,,,        1712.540,        1712.541,        1712.541,1638.9,1638.9,1638.9,,,,,-31.25,29.36,3.55,0.0500,0.00,0.05,90.0,0.0,KOI-18,,,Cyg,F,1.32,1.75,6290.0,4.281351,0.000,0.000,13.4,1016.38,19.9605,44.0351,-34.9,18.6922,1,0,1.505,3.506,-2.45,,,,0.00,0.00,0.00,0.06,0,0,0,1,transit,2015
KOI-19.01,,19.01,Hot,Jovian,,,non-habitable,,,,33.12,,,,        4821.160,        4821.160,        4821.161,2122.9,2122.9,2122.9,,,,,-34.06,66.63,1.20,0.0225,0.00,0.02,59.0,0.0,KOI-19,,,Lyr,F,1.04,1.35,6218.0,2.440712,0.000,0.000,11.4,307.56,18.7296,42.8392,-36.0,32.3805,1,0,1.141,2.662,-2.47,,,,0.00,0.00,0.00,0.03,0,0,0,0,transit,2015
KOI-20.01,Kepler-12 b,20.01,Hot,Jovian,,,non-habitable,,,,18.22,,,,        759.5444,        759.5444,        759.5446,1337.5,1337.5,1337.5,,,,,-30.74,35.17,4.44,0.0545,0.00,0.05,90.0,0.0,KOI-20,,,Dra,G,1.09,1.42,5953.0,2.256037,0.000,0.000,13.4,761.51,19.0829,50.0404,-34.0,13.8701,1,0,1.115,2.616,-2.41,,,,0.00,0.00,0.00,0.05,0,0,0,1,transit,2015
KOI-22.01,Kepler-422 b,22.01,Hot,Jovian,,,non-habitable,,,,12.24,,,,        236.5149,        236.5150,        236.5150,999.1,999.1,999.1,,,,,-28.60,23.42,7.89,0.0796,0.00,0.08,89.4,0.0,KOI-22,,,Lyr,G,1.08,1.19,5853.0,1.498597,0.000,0.000,13.4,619.79,18.8420,46.3234,-32.7,7.9935,1,0,0.915,2.150,-2.35,,,,0.00,0.00,0.00,0.08,0,0,0,1,transit,2015
KOI-25.01,,25.01,Hot,Jovian,,,non-habitable,,,,22.44,,,,        1031.376,        1031.376,        1031.376,1443.8,1443.8,1443.8,,,,,-31.53,43.70,3.13,0.0430,0.00,0.04,75.6,0.0,KOI-25,,,Cyg,F,1.08,1.18,6248.0,1.907014,0.000,0.000,13.5,719.98,19.2841,47.8155,-34.3,14.6767,1,0,1.007,2.348,-2.44,,,,0.00,0.00,0.00,0.04,0,0,0,0,transit,2015
KOI-41.01,Kepler-100 c,41.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.76,,2.28,1.50,3.42,2.79,        189.5224,        189.5224,        189.5225,945.3,945.3,945.3,993.3,993.3,993.3,26.6,-24.69,4.33,12.82,0.1100,0.00,0.11,87.1,0.0,KOI-41,,,Lyr,G,1.08,1.49,5825.0,2.293221,0.000,0.000,11.2,274.89,19.4257,41.9903,-32.5,7.2234,3,0,1.133,2.667,-2.33,-0.12,0.03,0.30,0.00,0.00,0.00,0.25,0,0,0,1,transit,2015
KOI-41.02,Kepler-100 b,41.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.16,,1.31,0.96,1.26,1.29,        433.8874,        433.8875,        433.8876,1162.8,1162.8,1162.8,1199.9,1199.9,1199.9,2.1,-24.39,2.49,6.89,0.0727,0.00,0.07,87.1,0.0,KOI-41,,,Lyr,G,1.08,1.49,5825.0,2.293221,0.000,0.000,11.2,274.89,19.4257,41.9903,-33.4,10.9388,3,0,1.133,2.667,-2.38,-0.16,-1.00,0.28,0.00,0.00,0.00,0.29,0,0,0,1,transit,2015
KOI-41.03,Kepler-100 d,41.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.49,,1.50,1.03,1.55,1.52,        49.01544,        49.01545,        49.01545,674.1,674.1,674.1,713.6,713.6,713.6,3.6,-22.30,2.85,35.33,0.2163,0.00,0.22,88.8,0.0,KOI-41,,,Lyr,G,1.08,1.49,5825.0,2.293221,0.000,0.000,11.2,274.89,19.4257,41.9903,-31.0,3.6717,3,0,1.133,2.667,-2.20,-0.15,-0.59,0.30,0.00,0.00,0.00,0.31,0,0,0,1,transit,2015
KOI-42.01,Kepler-410 A b,42.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,25.45,,2.47,1.69,4.17,3.21,        128.9850,        128.9850,        128.9851,858.6,858.6,858.6,908.7,908.7,908.7,43.0,-24.45,4.70,17.83,0.1436,0.00,0.14,90.0,0.0,KOI-42,,,Lyr,F,1.24,1.36,6325.0,2.659796,0.000,0.000,9.4,127.80,18.8767,45.1398,-32.0,5.0525,1,0,1.184,2.756,-2.32,-0.11,0.39,0.30,0.00,0.00,0.00,0.24,0,0,0,1,transit,2015
KOI-46.01,Kepler-101 b,46.01,Hot,Neptunian,gas,metals-rich,non-habitable,,16.49,,4.36,0.20,0.87,1.94,        658.4510,        658.4510,        658.4510,1290.6,1290.6,1290.6,,,,3.3,-27.47,8.29,3.49,0.0468,0.00,0.05,90.0,0.0,KOI-46,,,Dra,G,1.12,1.21,5761.0,1.442166,0.000,0.000,13.8,708.91,18.8837,48.3552,-33.8,13.7889,2,0,0.902,2.126,-2.40,3.11,-0.68,0.20,,0.00,0.00,0.17,0,0,0,1,transit,2015
KOI-46.02,Kepler-101 c,46.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.64,,0.91,0.84,0.77,0.84,        316.5247,        316.5247,        316.5248,1074.6,1074.6,1074.6,1105.9,1105.9,1105.9,0.5,-23.25,1.73,6.03,0.0675,0.00,0.07,87.7,0.0,KOI-46,,,Dra,G,1.12,1.21,5761.0,1.442166,0.000,0.000,13.8,708.91,18.8837,48.3552,-33.0,9.5483,2,0,0.902,2.126,-2.36,-0.18,-1.24,0.27,0.00,0.00,0.00,0.30,0,0,0,1,transit,2015
KOI-48.01,,48.01,Hot,,,,non-habitable,,,,208.11,,,,        168.7043,        168.7043,        168.7044,918.2,918.2,918.2,,,,,-34.42,-,23.84,0.1662,0.00,0.17,85.9,0.0,KOI-48,,,Cyg,F,1.08,1.94,6095.0,4.660025,0.000,0.000,13.7,1246.59,19.7703,43.5432,-32.3,6.2236,1,0,1.589,3.716,-2.34,,,,0.00,0.00,0.00,0.01,0,0,0,0,transit,2015
KOI-49.01,,49.01,Hot,Neptunian,gas,metals-rich,non-habitable,,3.72,,2.69,0.19,0.51,1.18,        145.8722,        145.8722,        145.8723,885.4,885.4,885.4,,,,0.7,-24.77,5.11,8.31,0.0821,0.00,0.08,90.0,0.0,KOI-49,,,Cyg,G,1.06,0.95,5900.0,0.983239,0.000,0.000,13.7,567.90,19.4833,46.1648,-32.2,6.1760,1,0,0.739,1.735,-2.32,2.44,-0.96,0.22,,0.00,0.00,0.23,0,0,0,0,transit,2015
KOI-51.01,,51.01,Hot,Jovian,,,non-habitable,,,,49.78,,,,        114.3009,        114.3009,        114.3009,833.0,833.0,833.0,,,,,-30.87,111.29,10.43,0.0936,0.00,0.09,85.4,0.0,KOI-51,,,Cyg,G,1.00,1.00,5780.0,1.001385,0.000,0.000,13.8,588.29,19.7279,41.3324,-31.9,5.6959,1,0,0.751,1.769,-2.29,,,,0.00,0.00,0.00,0.03,0,0,0,0,transit,2015
KOI-63.01,Kepler-63 b,63.01,Hot,Neptunian,gas,metals-rich,non-habitable,,34.35,,5.57,0.20,1.11,2.48,        92.05837,        92.05837,        92.05839,789.2,789.2,789.2,,,,6.8,-25.85,10.60,9.43,0.0873,0.00,0.09,89.4,0.0,KOI-63,,,Cyg,G,0.99,0.88,5650.0,0.701604,0.000,0.000,11.6,181.39,19.2817,49.5482,-31.7,5.3494,1,0,0.633,1.498,-2.26,3.71,-0.02,0.19,,0.00,0.00,0.15,0,0,0,1,transit,2015
KOI-64.01,,64.01,Hot,Jovian,gas,metals-rich,non-habitable,,321.67,,10.29,0.30,3.04,5.59,        3843.296,        3843.296,        3843.297,2006.0,2006.0,2006.0,,,,95.0,-31.26,19.65,1.95,0.0331,0.00,0.03,77.9,0.0,KOI-64,,,Cyg,G,1.26,2.44,5302.0,4.210754,0.000,0.000,13.1,908.79,19.7674,42.5474,-35.7,40.0463,1,0,1.583,3.784,-2.41,6.48,0.68,0.13,,0.00,0.00,0.08,0,0,0,0,transit,2015
KOI-69.01,Kepler-93 b,69.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.31,,1.59,1.07,1.70,1.65,        276.6817,        276.6818,        276.6818,1039.1,1039.1,1039.1,1079.6,1079.6,1079.6,4.6,-24.32,3.02,4.73,0.0533,0.00,0.05,85.9,0.0,KOI-69,,,Lyr,G,0.91,0.92,5669.0,0.786023,0.000,0.000,9.9,90.09,19.4279,38.6724,-32.9,9.2185,1,0,0.670,1.583,-2.35,-0.15,-0.74,0.29,0.00,0.00,0.00,0.28,0,0,0,1,transit,2015
KOI-70.01,Kepler-20 c,70.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.44,,3.03,0.20,0.59,1.34,        81.07798,        81.07800,        81.07800,764.5,764.5,764.5,,,,1.1,-24.39,5.76,10.85,0.0919,0.00,0.09,88.8,0.0,KOI-70,,,Lyr,G,0.88,0.93,5465.0,0.684753,0.000,0.000,12.5,272.69,19.1799,42.3387,-31.5,5.3659,5,0,0.633,1.504,-2.24,2.55,-0.79,0.22,,0.00,0.00,0.22,0,0,0,1,transit,2015
KOI-70.02,Kepler-20 b,70.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.80,,2.11,1.36,2.88,2.46,        341.1756,        341.1756,        341.1756,1094.9,1094.9,1094.9,1141.2,1141.2,1141.2,17.4,-25.17,4.01,3.70,0.0448,0.00,0.04,82.5,0.0,KOI-70,,,Lyr,G,0.88,0.93,5465.0,0.684753,0.000,0.000,12.5,272.69,19.1799,42.3387,-33.1,11.0203,5,0,0.633,1.504,-2.35,-0.13,-0.29,0.30,0.00,0.00,0.00,0.25,0,0,0,1,transit,2015
KOI-70.03,Kepler-20 d,70.03,Hot,Neptunian,gas,metals-rich,non-habitable,,3.42,,2.62,0.19,0.50,1.14,        5.885325,        5.885326,        5.885327,396.8,396.8,396.8,,,,0.7,-21.21,4.98,77.61,0.3411,0.00,0.34,90.0,0.0,KOI-70,,,Lyr,G,0.88,0.93,5465.0,0.684753,0.000,0.000,12.5,272.69,19.1799,42.3387,-28.7,1.4452,5,0,0.633,1.504,-1.67,2.43,-0.62,0.25,,0.00,0.00,0.41,0,0,0,1,transit,2015
KOI-70.04,Kepler-20 e,70.04,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.45,,0.82,0.82,0.67,0.74,        174.7372,        174.7372,        174.7372,926.3,926.3,926.3,956.1,956.1,956.1,0.4,-22.37,1.56,6.10,0.0626,0.00,0.06,87.7,0.0,KOI-70,,,Lyr,G,0.88,0.93,5465.0,0.684753,0.000,0.000,12.5,272.69,19.1799,42.3387,-32.4,7.8808,5,0,0.633,1.504,-2.31,-0.18,-1.26,0.28,0.00,0.00,0.00,0.30,0,0,0,1,transit,2015
KOI-70.05,Kepler-20 f,70.05,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.84,,0.99,0.87,0.86,0.92,        36.91303,        36.91304,        36.91304,628.0,628.0,628.0,660.6,660.6,660.6,0.7,-21.09,1.88,19.58,0.1362,0.00,0.14,89.4,0.0,KOI-70,,,Lyr,G,0.88,0.93,5465.0,0.684753,0.000,0.000,12.5,272.69,19.1799,42.3387,-30.7,3.6199,5,0,0.633,1.504,-2.14,-0.17,-1.02,0.30,0.00,0.00,0.00,0.33,0,0,0,1,transit,2015
KOI-72.01,Kepler-10 b,72.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,3.09,,1.45,1.01,1.47,1.46,        3553.913,        3553.913,        3553.913,1967.1,1967.1,1967.1,2006.0,2006.0,2006.0,3.1,-26.90,2.76,0.84,0.0168,0.00,0.02,89.4,0.0,KOI-72,,,Dra,G,0.90,1.06,5627.0,1.003056,0.000,0.000,11.0,163.17,19.0453,50.2413,-35.6,33.9940,2,0,0.758,1.794,-2.43,-0.16,-1.09,0.27,0.00,0.00,0.00,0.28,0,0,0,1,transit,2015
KOI-72.02,Kepler-10 c,72.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.76,,2.28,1.50,3.42,2.79,        17.45779,        17.45779,        17.45779,520.8,520.8,520.8,568.8,568.8,568.8,26.6,-22.09,4.33,45.29,0.2397,0.00,0.24,90.0,0.0,KOI-72,,,Dra,G,0.90,1.06,5627.0,1.003056,0.000,0.000,11.0,163.17,19.0453,50.2413,-29.8,2.3479,2,0,0.758,1.794,-2.00,-0.12,0.63,0.32,0.00,0.00,0.00,0.31,0,0,0,1,transit,2015
KOI-75.01,,75.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,,362.92,,10.50,0.31,3.29,5.88,        29.83850,        29.83850,        29.83850,595.4,595.4,595.4,,,,113.8,-26.01,20.06,105.88,0.4817,0.00,0.48,88.8,0.0,KOI-75,,,Lyr,G,1.33,2.53,5896.0,6.923573,0.000,0.000,10.8,393.65,19.4331,42.7285,-30.4,2.7960,1,0,1.961,4.605,-2.12,6.64,2.93,0.12,,0.00,0.00,0.12,0,0,0,0,transit,2015
KOI-76.01,,76.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,,120.65,,8.22,0.22,1.79,3.83,        55.43732,        55.43732,        55.43733,695.2,695.2,695.2,,,,26.2,-26.15,15.67,77.48,0.4174,0.00,0.42,90.0,0.0,KOI-76,,,Cyg,F,1.61,2.30,6715.0,9.658444,0.000,0.000,10.1,348.02,19.5695,46.8221,-31.1,2.9381,1,0,2.206,5.106,-2.23,5.16,1.08,0.15,,0.00,0.00,0.12,0,0,0,0,transit,2015
KOI-82.01,Kepler-102 e,82.01,Hot,Superterran,gas,metals-rich,non-habitable,,3.02,,2.52,0.19,0.48,1.09,        21.51286,        21.51287,        21.51287,548.7,548.7,548.7,,,,0.6,-22.54,4.79,16.15,0.1129,0.00,0.11,88.2,0.0,KOI-82,,,Lyr,K,0.73,0.76,4812.0,0.274212,0.000,0.000,11.5,108.82,18.7655,47.2080,-30.1,3.5644,5,0,0.414,1.008,-2.01,2.40,-0.83,0.24,,0.00,0.00,0.29,0,0,0,1,transit,2015
KOI-82.02,Kepler-102 d,82.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.73,,1.40,0.99,1.39,1.40,        39.14129,        39.14130,        39.14131,637.2,637.2,637.2,675.5,675.5,675.5,2.7,-21.91,2.66,10.31,0.0837,0.00,0.08,87.1,0.0,KOI-82,,,Lyr,K,0.73,0.76,4812.0,0.274212,0.000,0.000,11.5,108.82,18.7655,47.2080,-30.7,4.8085,5,0,0.414,1.008,-2.11,-0.16,-0.66,0.31,0.00,0.00,0.00,0.32,0,0,0,1,transit,2015
KOI-82.03,Kepler-102 f,82.03,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.40,,0.79,0.82,0.64,0.71,        10.60508,        10.60508,        10.60508,459.8,459.8,459.8,489.0,489.0,489.0,0.3,-19.24,1.50,27.45,0.1608,0.00,0.16,90.0,0.0,KOI-82,,,Lyr,K,0.73,0.76,4812.0,0.274212,0.000,0.000,11.5,108.82,18.7655,47.2080,-29.3,2.5024,5,0,0.414,1.008,-1.85,-0.18,-1.09,0.32,0.00,0.00,0.00,0.41,0,0,0,1,transit,2015
KOI-82.04,Kepler-102 c,82.04,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.15,,0.58,0.77,0.45,0.51,        64.70296,        64.70297,        64.70297,722.6,722.6,722.6,747.3,747.3,747.3,0.1,-20.53,1.10,7.07,0.0651,0.00,0.07,90.0,0.0,KOI-82,,,Lyr,K,0.73,0.76,4812.0,0.274212,0.000,0.000,11.5,108.82,18.7655,47.2080,-31.3,6.1835,5,0,0.414,1.008,-2.17,-0.19,-1.36,0.28,0.00,0.00,0.00,0.29,0,0,0,1,transit,2015
KOI-82.05,Kepler-102 b,82.05,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.09,,0.49,0.75,0.37,0.43,        95.44575,        95.44576,        95.44576,796.3,796.3,796.3,818.7,818.7,818.7,0.1,-20.59,0.93,5.29,0.0536,0.00,0.05,88.2,0.0,KOI-82,,,Lyr,K,0.73,0.76,4812.0,0.274212,0.000,0.000,11.5,108.82,18.7655,47.2080,-31.7,7.5119,5,0,0.414,1.008,-2.21,-0.19,-1.44,0.27,0.00,0.00,0.00,0.27,0,0,0,1,transit,2015
KOI-84.01,Kepler-19 b,84.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,13.31,,2.13,1.38,2.93,2.50,        80.67896,        80.67899,        80.67899,763.5,763.5,763.5,810.0,810.0,810.0,18.3,-23.61,4.05,9.29,0.0833,0.00,0.08,90.0,0.0,KOI-84,,,Lyr,G,0.89,0.81,5543.0,0.559823,0.000,0.000,11.9,187.28,19.3614,37.8518,-31.5,5.2030,1,0,0.569,1.350,-2.24,-0.13,0.02,0.31,0.00,0.00,0.00,0.26,0,0,0,1,transit,2015
KOI-85.01,Kepler-65 c,85.01,Hot,Neptunian,gas,no-atmosphere,non-habitable,,3.13,,2.55,0.19,0.48,1.11,        553.4401,        553.4402,        553.4404,1235.7,1235.7,1235.7,,,,0.6,-26.11,4.85,5.86,0.0690,0.00,0.07,90.0,0.0,KOI-85,,,Lyr,F,1.27,1.42,6169.0,2.634929,0.000,0.000,11.0,271.45,19.2459,41.1512,-33.6,11.0151,3,0,1.190,2.777,-2.41,2.41,-1.12,0.22,,0.00,0.00,0.23,0,0,0,1,transit,2015
KOI-85.02,Kepler-65 b,85.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,3.49,,1.50,1.03,1.55,1.52,        2102.627,        2102.628,        2102.628,1725.2,1725.2,1725.2,1764.7,1764.7,1764.7,3.6,-26.41,2.85,2.15,0.0354,0.00,0.04,80.8,0.0,KOI-85,,,Lyr,F,1.27,1.42,6169.0,2.634929,0.000,0.000,11.0,271.45,19.2459,41.1512,-35.1,21.5641,3,0,1.190,2.777,-2.45,-0.15,-1.02,0.27,0.00,0.00,0.00,0.28,0,0,0,1,transit,2015
KOI-85.03,Kepler-65 d,85.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.27,,1.76,1.15,2.03,1.89,        357.9268,        357.9268,        357.9269,1108.1,1108.1,1108.1,1150.6,1150.6,1150.6,7.2,-24.82,3.35,8.13,0.0858,0.00,0.09,83.1,0.0,KOI-85,,,Lyr,F,1.27,1.42,6169.0,2.634929,0.000,0.000,11.0,271.45,19.2459,41.1512,-33.1,8.8535,3,0,1.190,2.777,-2.39,-0.14,-0.63,0.29,0.00,0.00,0.00,0.27,0,0,0,1,transit,2015
KOI-87.01,Kepler-22 b,87.01,Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,,14.38,,2.17,1.41,3.05,2.57,        1.209134,        1.209134,        1.209134,267.2,267.2,267.2,314.0,314.0,314.0,20.2,-19.07,4.12,289.86,0.8489,0.00,0.85,90.0,0.0,KOI-87,,,Cyg,G,0.97,0.98,5642.0,0.871340,0.000,0.000,11.7,209.89,19.2812,47.8845,-26.9,0.6146,1,1,0.706,1.670,-0.70,-0.13,1.32,0.40,0.27,0.00,0.00,0.73,0,1,0,1,transit,2015
KOI-89.01,,89.01,Hot,Neptunian,gas,metals-rich,non-habitable,,24.99,,5.01,0.20,1.00,2.23,        99.15500,        99.15501,        99.15503,803.9,803.9,803.9,,,,5.0,-25.70,9.53,84.69,0.4731,0.00,0.47,90.0,0.0,KOI-89,,,Cyg,A,1.97,2.64,7717.0,22.193234,0.000,0.000,11.6,1048.64,19.9881,43.8143,-31.7,2.9752,2,0,3.267,7.528,-2.31,3.43,-0.21,0.19,,0.00,0.00,0.16,0,0,0,0,transit,2015
KOI-89.02,,89.02,Hot,Neptunian,gas,metals-rich,non-habitable,,43.06,,6.00,0.20,1.20,2.68,        30.00708,        30.00708,        30.00708,596.3,596.3,596.3,,,,8.6,-24.79,11.42,207.58,0.8600,0.00,0.86,90.0,0.0,KOI-89,,,Cyg,A,1.97,2.64,7717.0,22.193234,0.000,0.000,11.6,1048.64,19.9881,43.8143,-30.4,1.6366,2,0,3.267,7.528,-2.13,3.94,0.39,0.18,,0.00,0.00,0.17,0,0,0,0,transit,2015
KOI-92.01,,92.01,Hot,Neptunian,gas,metals-rich,non-habitable,,3.21,,2.57,0.19,0.49,1.12,        10.04491,        10.04491,        10.04491,453.6,453.6,453.6,,,,0.6,-21.75,4.89,65.70,0.3251,0.00,0.33,90.0,0.0,KOI-92,,,Lyr,G,1.06,0.97,5952.0,1.061646,0.000,0.000,11.7,232.00,18.8917,43.7882,-29.2,1.5918,1,0,0.765,1.795,-1.85,2.41,-0.71,0.24,,0.00,0.00,0.34,0,0,0,0,transit,2015
KOI-94.01,Kepler-89 d,94.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,,245.27,,9.77,0.26,2.57,5.01,        81.93201,        81.93202,        81.93204,766.5,766.5,766.5,,,,64.5,-26.95,18.65,22.34,0.1596,0.00,0.16,90.0,0.0,KOI-94,,,Cyg,F,1.08,1.30,6098.0,2.086986,0.000,0.000,12.2,416.23,19.8222,41.8911,-31.5,4.3318,4,0,1.063,2.486,-2.27,6.11,1.77,0.13,,0.00,0.00,0.10,0,0,0,1,transit,2015
